ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2022-09-06T00:00:00.000000000Z,35,2,526,81.000000000,81.130000000,78.380000000,78.640000000,10142144,AMD
2022-09-06T00:00:00.000000000Z,35,2,6080,45.350000000,45.370000000,44.650000000,44.910000000,21989,JEPQ
2022-09-06T00:00:00.000000000Z,35,2,9039,297.350000000,298.240000000,290.870000000,292.700000000,10287203,QQQ
2022-09-06T00:00:00.000000000Z,35,2,11638,39.393333333,39.603333333,38.883333333,39.070000000,615516,VUG
2022-09-06T00:00:00.000000000Z,35,2,7598,22.780000000,22.824000000,21.467000000,21.838000000,19638710,NFLX
2022-09-06T00:00:00.000000000Z,35,2,2404,521.200000000,523.180000000,512.650000000,518.120000000,831398,COST
2022-09-06T00:00:00.000000000Z,35,2,7021,864.810000000,872.100000000,831.430000000,854.000000000,276747,MELI
2022-09-06T00:00:00.000000000Z,35,2,5446,121.800000000,121.800000000,119.180000000,119.180000000,1255162,IBB
2022-09-06T00:00:00.000000000Z,35,2,7069,38.410000000,38.760000000,38.088000000,38.422000000,246620,MGK
2022-09-06T00:00:00.000000000Z,35,2,9674,24.333333333,24.333333333,23.840000000,23.933333333,765606,SCHD
2022-09-06T00:00:00.000000000Z,35,2,4820,108.760000000,109.070000000,105.780000000,106.790000000,8205775,GOOGL
2022-09-06T00:00:00.000000000Z,35,2,10624,49.480000000,49.480000000,48.760000000,48.880000000,8193,TDIV
2022-09-06T00:00:00.000000000Z,35,2,10046,104.440000000,104.980000000,102.090000000,103.120000000,3026702,SMH
2022-09-06T00:00:00.000000000Z,35,2,1533,20.500000000,20.500000000,19.745000000,19.800000000,84912,BOTZ
2022-09-06T00:00:00.000000000Z,35,2,2108,42.000000000,42.000000000,40.470000000,40.600000000,103402,CIBR
2022-09-06T00:00:00.000000000Z,35,2,9012,22.840000000,23.000000000,21.875000000,22.150000000,1450688,QLD
2022-09-06T00:00:00.000000000Z,35,2,824,478.270000000,481.030000000,462.110000000,469.660000000,386704,ASML
2022-09-06T00:00:00.000000000Z,35,2,5910,207.870000000,207.870000000,201.280000000,201.990000000,574253,ISRG
2022-09-06T00:00:00.000000000Z,35,2,29,156.790000000,157.390000000,153.730000000,154.490000000,19754715,AAPL
2022-09-06T00:00:00.000000000Z,35,2,2517,174.000000000,174.500000000,168.620000000,170.000000000,1079781,CRWD
2022-09-06T00:00:00.000000000Z,35,2,8984,130.180000000,130.900000000,126.210000000,126.600000000,2430780,QCOM
2022-09-06T00:00:00.000000000Z,35,2,6762,43.240000000,43.377000000,42.171000000,42.624000000,4646260,LRCX
2022-09-06T00:00:00.000000000Z,35,2,11589,281.710000000,284.000000000,278.380000000,278.380000000,424341,VRTX
2022-09-06T00:00:00.000000000Z,35,2,10106,334.960000000,334.960000000,323.960000000,327.110000000,598904,SNPS
2022-09-06T00:00:00.000000000Z,35,2,4342,101.210000000,101.420000000,99.820000000,100.410000000,20531,FTEC
2022-09-06T00:00:00.000000000Z,35,2,9089,17.150000000,17.180000000,16.610000000,16.710000000,788519,QYLD
2022-09-06T00:00:00.000000000Z,35,2,7876,13.865000000,13.865000000,13.351000000,13.500000000,99378810,NVDA
2022-09-06T00:00:00.000000000Z,35,2,584,128.320000000,128.980000000,124.750000000,126.100000000,10582445,AMZN
2022-09-06T00:00:00.000000000Z,35,2,10160,121.133333333,121.133333333,117.310000000,118.510000000,1296705,SOXX
2022-09-07T00:00:00.000000000Z,35,2,4820,107.130000000,109.990000000,106.170000000,109.530000000,6864279,GOOGL
2022-09-07T00:00:00.000000000Z,35,2,7876,13.496000000,13.837000000,13.346000000,13.763000000,80109160,NVDA
2022-09-07T00:00:00.000000000Z,35,2,11589,281.320000000,286.120000000,277.970000000,283.800000000,406694,VRTX
2022-09-07T00:00:00.000000000Z,35,2,7342,253.960000000,258.820000000,252.670000000,258.090000000,7544719,MSFT
